f3_spf3_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf3_perturbaciones_cobertura_tipo_perturbacion;f3_spf3_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf3_perturbaciones_cobertura_severidad_perturbacion;f3_spf3_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf3_perturbaciones_cobertura_tipo_cobertura;f3_spf3_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf3_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
77000352;77000001;PA;159;MP;167;MA;220;40;;157622;2016;2016;3;;;
77000358;77000001;-1;-1;-1;-1;AR;215;40;;157622;2016;2016;3;;;
77000364;77000001;-1;-1;-1;-1;AB;214;20;;157622;2016;2016;3;;;
78000299;78000001;SP;162;NP;168;BT;216;100;no;117243;2016;2016;3;;;
79000304;79000001;SP;162;FP;166;CA;;100;sabana;151632;2016;2016;3;;;
80000306;80000001;EA;156;FP;166;CU;218;100;Cultivo de madarina y cafe;114032;2016;2016;3;;;
81000283;81000001;CN;155;FP;166;BT;216;30;La perturbación se debe a plantas invasoras (helechos);149714;2016;2016;3;;;
81000289;81000001;-1;;-1;;RA;223;70;;149714;2016;2016;3;;;
83000284;83000001;CA;153;FP;166;PA;221;100;SIN OBSERVACIONES;189921;2016;2016;3;;;
83000290;83000001;PA;159;FP;166;-1;;;Sin observaciones;189921;2016;2016;3;;;
84000420;84000001;SP;162;NP;168;BT;216;100;Bosque de galeria;100441;2016;2016;3;;;
85000288;85000001;VI;163;FP;166;RA;223;100;;170313;2016;2016;3;;;
85000294;85000001;CA;153;MP;167;-1;;;;170313;2016;2016;3;;;
86000244;86000001;SP;162;FP;166;-1;;;;170131;2016;2016;3;;;
87000286;87000001;CN;155;MP;167;BT;216;100;;178931;2016;2016;3;;;
89000190;89000001;CA;153;FP;166;CU;218;100;no;051521;2016;2016;3;;;
89000196;89000001;PC;160;MP;167;-1;-1;0;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;051521;2016;2016;3;;;
90000280;90000001;VI;163;FP;166;RA;223;30;;153324;2016;2016;3;;;
90000286;90000001;CA;153;MP;167;MA;220;70;;153324;2016;2016;3;;;
91000306;91000001;SP;162;NP;168;BT;216;100;;152814;2016;2016;3;;;
92000305;92000001;CA;153;FP;166;RA;223;100;;153244;2016;2016;3;;;
92000311;92000001;-1;;-1;;-1;;;;153244;2016;2016;3;;;
93000221;93000001;CA;153;FP;166;BI;217;100;no;051433;2016;2016;3;;;
94000346;94000001;CA;153;FP;166;BT;216;60;;166712;2016;2016;3;;;
94000352;94000001;EA;156;MP;167;CU;218;40;;166712;2016;2016;3;;;
95000286;95000001;CA;153;FP;166;HE;219;20;;156932;2016;2016;3;;;
95000292;95000001;-1;;-1;;PA;221;20;;156932;2016;2016;3;;;
95000298;95000001;-1;;-1;;MA;220;60;;156932;2016;2016;3;;;
96000246;96000001;SP;162;NP;168;BT;216;100;;109521;2016;2016;3;;;
97000207;97000001;SP;162;NP;168;BI;217;100;no;139332;2016;2016;3;;;
98000317;98000001;CA;153;MP;167;BT;216;70;;172844;2016;2016;3;;;
98000323;98000001;CN;155;MP;167;RA;223;30;;172844;2016;2016;3;;;
98000329;98000001;FU;157;MP;167;-1;;;;172844;2016;2016;3;;;
